atr,high_lb,top_n,rebal,vol_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
10,30,3,7,0.5000,long,0.2500,1.0459,0.3002,-0.4478,0.6703,6813
10,50,3,14,0.5000,long,0.0000,1.0449,0.6216,-0.7506,0.8282,237
20,50,3,14,0.5000,long,0.0000,1.0447,0.6283,-0.7756,0.8101,233
14,30,3,14,0.3000,long,0.2500,1.0444,0.2980,-0.4715,0.6319,6761
20,80,3,3,0.7000,long,0.2500,1.0444,0.3050,-0.4160,0.7332,6652
20,30,3,14,0.7000,long,0.0000,1.0442,0.6138,-0.7009,0.8756,187
10,30,2,14,0.7000,long,0.2500,1.0420,0.3725,-0.4766,0.7817,4482
10,30,2,14,0.7000,long,0.0000,1.0418,1.0186,-0.7479,1.3620,182
20,30,2,7,0.5000,long,0.2500,1.0415,0.3042,-0.4505,0.6751,4567
10,80,2,14,0.3000,long,0.0000,1.0407,0.6380,-0.8383,0.7610,216
10,50,2,14,0.5000,long,0.0000,1.0395,0.6014,-0.7392,0.8136,178
20,50,1,3,0.7000,long,0.0000,1.0393,0.5954,-0.7379,0.8069,271
10,80,1,14,0.5000,long,0.0000,1.0360,0.5759,-0.7515,0.7663,115
14,80,3,3,0.7000,long,0.2500,1.0353,0.3055,-0.4029,0.7583,6680
10,30,1,14,0.5000,long,0.0000,1.0346,0.5913,-0.7564,0.7818,147
14,80,2,14,0.7000,long,0.0000,1.0329,0.5715,-0.7590,0.7530,148
20,80,2,14,0.3000,long,0.2500,1.0321,0.3073,-0.5094,0.6033,4390
10,80,3,3,0.7000,long,0.0000,1.0320,0.7738,-0.7168,1.0794,555
14,80,3,14,0.3000,long,0.0000,1.0310,0.6056,-0.8092,0.7484,247
14,80,1,3,0.5000,long,0.0000,1.0309,0.5876,-0.7606,0.7725,327
14,30,2,3,0.7000,long,0.2500,1.0295,0.2914,-0.4593,0.6345,4618
10,30,3,7,0.7000,long,0.0000,1.0292,0.7779,-0.7028,1.1068,399
20,30,3,14,0.5000,long,0.0000,1.0289,0.6128,-0.7246,0.8458,271
10,30,3,14,0.7000,long,0.0000,1.0283,0.7719,-0.6926,1.1144,231
14,50,1,7,0.7000,long,0.2500,1.0259,0.3020,-0.5014,0.6023,2276
10,50,3,14,0.7000,long,0.0000,1.0257,0.7671,-0.7276,1.0543,215
14,80,3,14,0.3000,long,0.2500,1.0252,0.3315,-0.5087,0.6517,6542
20,30,1,14,0.7000,long,0.2500,1.0242,0.2957,-0.4072,0.7261,2249
10,80,1,3,0.3000,long,0.0000,1.0241,0.6034,-0.8169,0.7386,459
14,50,1,7,0.5000,long,0.0000,1.0222,0.6342,-0.7402,0.8569,231
10,50,1,14,0.7000,long,0.0000,1.0216,0.5648,-0.7593,0.7439,131
14,50,2,3,0.3000,long,0.2500,1.0215,0.2924,-0.4737,0.6174,4702
14,30,2,14,0.3000,long,0.2500,1.0205,0.2956,-0.4250,0.6956,4530
20,30,1,3,0.5000,long,0.2500,1.0200,0.2967,-0.4013,0.7394,2442
10,80,2,14,0.3000,long,0.2500,1.0186,0.3032,-0.5094,0.5951,4387
20,30,1,3,0.5000,long,0.0000,1.0181,0.6139,-0.7561,0.8119,491
10,30,2,3,0.5000,long,0.0000,1.0171,0.5669,-0.7299,0.7767,674
20,80,1,3,0.7000,long,0.2500,1.0165,0.2904,-0.4402,0.6599,2293
14,30,1,7,0.3000,long,0.0000,1.0164,0.6716,-0.8110,0.8280,343
10,30,2,14,0.5000,long,0.0000,1.0150,0.5832,-0.6550,0.8905,210
14,30,2,14,0.3000,long,0.0000,1.0143,0.6181,-0.7110,0.8693,278
20,30,1,7,0.7000,long,0.0000,1.0131,0.5721,-0.7220,0.7924,169
20,80,2,14,0.3000,long,0.0000,1.0113,0.6019,-0.8348,0.7210,222
14,50,3,14,0.5000,long,0.0000,1.0109,0.5798,-0.7506,0.7724,235
20,80,3,14,0.5000,long,0.2500,1.0090,0.3190,-0.4469,0.7138,6522
10,50,3,7,0.7000,long,0.0000,1.0085,0.7456,-0.7319,1.0188,365
20,30,1,14,0.5000,long,0.0000,1.0079,0.6194,-0.7295,0.8491,137
20,50,3,14,0.3000,long,0.0000,1.0073,0.5868,-0.7783,0.7540,315
20,50,3,7,0.5000,long,0.2500,1.0070,0.2887,-0.4610,0.6263,6709
20,30,3,3,0.7000,long,0.2500,1.0062,0.2826,-0.4213,0.6708,6851
10,30,3,14,0.5000,long,0.0000,1.0057,0.5785,-0.7084,0.8167,265
14,80,3,14,0.5000,long,0.0000,1.0056,0.5715,-0.7820,0.7307,217
10,80,3,14,0.3000,long,0.0000,1.0031,0.5761,-0.8202,0.7025,253
20,30,3,3,0.7000,long,0.0000,1.0028,0.5647,-0.7165,0.7881,505
14,30,3,7,0.7000,long,0.0000,1.0027,0.5620,-0.6966,0.8067,361
