atr,vol_lb,metric,top_n,rebal,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
10,40,natr,2,7,long,0.0000,0.8479,0.6558,-0.7754,0.8457,286
14,10,realized,2,7,long,0.0000,0.8479,0.6538,-0.7525,0.8689,470
10,10,realized,2,7,long,0.0000,0.8479,0.6538,-0.7525,0.8689,470
20,10,realized,2,7,long,0.0000,0.8479,0.6538,-0.7525,0.8689,470
20,20,realized,2,7,long,0.0000,0.8470,0.6550,-0.7471,0.8768,270
10,20,realized,2,7,long,0.0000,0.8470,0.6550,-0.7471,0.8768,270
14,20,realized,2,7,long,0.0000,0.8470,0.6550,-0.7471,0.8768,270
14,10,natr,3,3,long,0.0000,0.8422,0.3907,-0.7008,0.5574,389
14,40,natr,3,3,long,0.0000,0.8422,0.3907,-0.7008,0.5574,389
14,20,natr,3,3,long,0.0000,0.8422,0.3907,-0.7008,0.5574,389
14,20,realized,1,14,long,0.2500,0.8421,0.2765,-0.4395,0.6291,2284
10,20,realized,1,14,long,0.2500,0.8421,0.2765,-0.4395,0.6291,2284
20,20,realized,1,14,long,0.2500,0.8421,0.2765,-0.4395,0.6291,2284
14,10,natr,1,14,long,0.0000,0.8375,0.3838,-0.7580,0.5063,117
14,20,natr,1,14,long,0.0000,0.8375,0.3838,-0.7580,0.5063,117
14,40,natr,1,14,long,0.0000,0.8375,0.3838,-0.7580,0.5063,117
10,40,realized,2,7,long,0.2500,0.8365,0.2249,-0.3727,0.6033,4446
14,40,realized,2,7,long,0.2500,0.8365,0.2249,-0.3727,0.6033,4446
20,40,realized,2,7,long,0.2500,0.8365,0.2249,-0.3727,0.6033,4446
10,10,natr,2,3,long,0.1500,0.8336,0.1757,-0.2971,0.5914,4665
10,40,natr,2,3,long,0.1500,0.8336,0.1757,-0.2971,0.5914,4665
10,20,natr,2,3,long,0.1500,0.8336,0.1757,-0.2971,0.5914,4665
10,20,natr,2,3,long,0.2500,0.8308,0.2763,-0.4551,0.6071,4663
10,40,natr,2,3,long,0.2500,0.8308,0.2763,-0.4551,0.6071,4663
10,10,natr,2,3,long,0.2500,0.8308,0.2763,-0.4551,0.6071,4663
14,40,realized,2,3,long,0.1500,0.8176,0.1411,-0.2531,0.5573,4467
10,40,realized,2,3,long,0.1500,0.8176,0.1411,-0.2531,0.5573,4467
20,40,realized,2,3,long,0.1500,0.8176,0.1411,-0.2531,0.5573,4467
20,10,realized,3,7,long,0.2500,0.8153,0.2356,-0.4381,0.5379,6941
14,10,realized,3,7,long,0.2500,0.8153,0.2356,-0.4381,0.5379,6941
10,10,realized,3,7,long,0.2500,0.8153,0.2356,-0.4381,0.5379,6941
10,40,realized,2,7,long,0.0000,0.8138,0.3671,-0.7344,0.4999,142
14,40,realized,2,7,long,0.0000,0.8138,0.3671,-0.7344,0.4999,142
20,40,realized,2,7,long,0.0000,0.8138,0.3671,-0.7344,0.4999,142
10,40,realized,2,7,long,0.1500,0.8125,0.1373,-0.2350,0.5841,4448
20,40,realized,2,7,long,0.1500,0.8125,0.1373,-0.2350,0.5841,4448
14,40,realized,2,7,long,0.1500,0.8125,0.1373,-0.2350,0.5841,4448
10,40,realized,2,14,long,0.1500,0.8090,0.1385,-0.2746,0.5043,4421
14,40,realized,2,14,long,0.1500,0.8090,0.1385,-0.2746,0.5043,4421
20,40,realized,2,14,long,0.1500,0.8090,0.1385,-0.2746,0.5043,4421
20,10,realized,3,7,long,0.1500,0.8049,0.1476,-0.2865,0.5152,6947
10,10,realized,3,7,long,0.1500,0.8049,0.1476,-0.2865,0.5152,6947
